敏感词,分类代码,分类说明
毛片,A.1,违反核心价值观(淫秽色情/色情视频)
毫克,A.3,商业违法违规(违禁品/计量单位)
民主,A.1,违反核心价值观(政治敏感/意识形态)
民国,A.1,违反核心价值观(政治敏感/历史)
民意,A.1,违反核心价值观(政治敏感/社会)
民警,A.1,违反核心价值观(政治敏感/警察)
民运,A.1,违反核心价值观(政治敏感/运动)
民选,A.1,违反核心价值观(政治敏感/选举)
气枪,A.3,商业违法违规(违禁品/枪支)
水箱,A.5,无法满足特定服务类型的安全需求(通用词)
永垂不朽,A.1,违反核心价值观(政治敏感/口号)
求购,A.3,商业违法违规(非法广告)
汇款,A.3,商业违法违规(欺诈/金融)
汉奸,A.2,包含歧视性内容(辱骂)
江八点,A.1,违反核心价值观(政治敏感/历史)
江泽民,A.1,违反核心价值观(政治敏感/领导人)
江青,A.1,违反核心价值观(政治敏感/四人帮)
汤守道,A.1,违反核心价值观(邪教/中功)
汪东兴,A.1,违反核心价值观(政治敏感/领导人)
汶川,A.1,违反核心价值观(社会民生/地震)
沐浴,A.1,违反核心价值观(淫秽色情/色情服务)
沙皇,A.1,违反核心价值观(政治敏感/影射)
没钱,A.5,无法满足特定服务类型的安全需求(通用词)
沦丧,A.5,无法满足特定服务类型的安全需求(通用词)
河南人,A.2,包含歧视性内容(地域歧视)
法轮,A.1,违反核心价值观(邪教/法轮功)
法轮功,A.1,违反核心价值观(邪教/法轮功)
波霸,A.1,违反核心价值观(淫秽色情/低俗)
泰罗,A.5,无法满足特定服务类型的安全需求(通用词)
洋妞,A.1,违反核心价值观(淫秽色情/低俗)
洗脑,A.1,违反核心价值观(政治敏感/意识形态)
洛阳,A.5,无法满足特定服务类型的安全需求(地名)
洞洞,A.1,违反核心价值观(淫秽色情/低俗)
洪传,A.1,违反核心价值观(邪教/法轮功)
洪志,A.1,违反核心价值观(邪教/李洪志)
活跃,A.5,无法满足特定服务类型的安全需求(通用词)
派别,A.1,违反核心价值观(政治敏感/党派)
流亡,A.1,违反核心价值观(政治敏感/异见人士)
流氓,A.1,违反核心价值观(社会民生/治安)
浆果,A.5,无法满足特定服务类型的安全需求(通用词)
浙江,A.5,无法满足特定服务类型的安全需求(地名)
浩劫,A.1,违反核心价值观(政治敏感/文革)
浪叫,A.1,违反核心价值观(淫秽色情/低俗)
海洛因,A.3,商业违法违规(违禁品/毒品)
涉黄,A.1,违反核心价值观(淫秽色情/违法)
润滑,A.1,违反核心价值观(淫秽色情/用品)
淫乱,A.1,违反核心价值观(淫秽色情/低俗)
淫亵,A.1,违反核心价值观(淫秽色情/低俗)
淫叫,A.1,违反核心价值观(淫秽色情/低俗)
淫妇,A.1,违反核心价值观(淫秽色情/侮辱)
淫媚,A.1,违反核心价值观(淫秽色情/低俗)
淫水,A.1,违反核心价值观(淫秽色情/低俗)
淫秽,A.1,违反核心价值观(淫秽色情/违法)
淫荡,A.1,违反核心价值观(淫秽色情/低俗)
淫魔,A.1,违反核心价值观(淫秽色情/变态)
深夜,A.5,无法满足特定服务类型的安全需求(通用词)
深喉,A.1,违反核心价值观(淫秽色情/低俗)
混乱,A.1,违反核心价值观(政治敏感/社会秩序)
清场,A.1,违反核心价值观(政治敏感/六四)
游行,A.1,违反核心价值观(政治敏感/示威)
温云松,A.1,违反核心价值观(政治敏感/家属)
温家宝,A.1,违反核心价值观(政治敏感/领导人)
港独,A.1,违反核心价值观(政治敏感/分裂国家)
游击,A.1,违反核心价值观(政治敏感/军事)
湖锦涛,A.1,违反核心价值观(政治敏感/领导人谐音)
湘军,A.5,无法满足特定服务类型的安全需求(历史/军事)
湮灭,A.5,无法满足特定服务类型的安全需求(通用词)
漂亮,A.5,无法满足特定服务类型的安全需求(通用词)
漫骂,A.2,包含歧视性内容(辱骂)
潜规则,A.1,违反核心价值观(社会民生/腐败)
潮吹,A.1,违反核心价值观(淫秽色情/低俗)
激凸,A.1,违反核心价值观(淫秽色情/低俗)
激情,A.1,违反核心价值观(淫秽色情/低俗)
火拼,A.1,违反核心价值观(暴力/冲突)
火药,A.3,商业违法违规(违禁品/爆炸物)
灭亡,A.1,违反核心价值观(政治敏感/反动)
灭共,A.1,违反核心价值观(政治敏感/反动)
灭口,A.1,违反核心价值观(暴力/犯罪)
灭绝,A.1,违反核心价值观(政治敏感/反人类)
灾难,A.5,无法满足特定服务类型的安全需求(通用词)
炜哥,A.3,商业违法违规(违禁品/药品)
点卡,A.3,商业违法违规(网络黑产/洗钱)
炼功,A.1,违反核心价值观(邪教/法轮功)
炸弹,A.3,商业违法违规(违禁品/爆炸物)
炸药,A.3,商业违法违规(违禁品/爆炸物)
烂逼,A.2,包含歧视性内容(侮辱谩骂)
热比娅,A.1,违反核心价值观(政治敏感/疆独)
热线,A.3,商业违法违规(非法广告)
熊焱,A.1,违反核心价值观(政治敏感/民运人士)
熊猫,A.1,违反核心价值观(政治敏感/网警)
爆乳,A.1,违反核心价值观(淫秽色情/低俗)
爆破,A.3,商业违法违规(违禁品/技术)
爱液,A.1,违反核心价值观(淫秽色情/低俗)
爷爷,A.5,无法满足特定服务类型的安全需求(称谓)
牛逼,A.2,包含歧视性内容(粗俗语)
牟其中,A.1,违反核心价值观(政治敏感/商人)
特务,A.1,违反核心价值观(政治敏感/间谍)
特区,A.5,无法满足特定服务类型的安全需求(行政区划)
特工,A.5,无法满足特定服务类型的安全需求(通用词)
特供,A.1,违反核心价值观(政治敏感/特权)
特首,A.1,违反核心价值观(政治敏感/香港)
狂操,A.1,违反核心价值观(淫秽色情/暴力)
狄仁杰,A.5,无法满足特定服务类型的安全需求(历史人物)
狗日,A.2,包含歧视性内容(侮辱谩骂)
狗腿,A.2,包含歧视性内容(侮辱)
独裁,A.1,违反核心价值观(政治敏感/政体)
独立,A.1,违反核心价值观(政治敏感/分裂国家)
狮子,A.5,无法满足特定服务类型的安全需求(通用词)
猎枪,A.3,商业违法违规(违禁品/枪支)
猪,A.2,包含歧视性内容(侮辱)
猪头,A.2,包含歧视性内容(侮辱)
献身,A.1,违反核心价值观(淫秽色情/色情服务)
王丹,A.1,违反核心价值观(政治敏感/民运人士)
王乐泉,A.1,违反核心价值观(政治敏感/官员)
王兆国,A.1,违反核心价值观(政治敏感/官员)
王军,A.5,无法满足特定服务类型的安全需求(人名)
王冶坪,A.1,违反核心价值观(政治敏感/家属)
王力雄,A.1,违反核心价值观(政治敏感/作家)
王岐山,A.1,违反核心价值观(政治敏感/领导人)
王希哲,A.1,违反核心价值观(政治敏感/异见人士)
王炳章,A.1,违反核心价值观(政治敏感/民运人士)
王瑞林,A.1,违反核心价值观(政治敏感/军方)
王立军,A.1,违反核心价值观(政治敏感/事件)
王若望,A.1,违反核心价值观(政治敏感/异见人士)
王震,A.1,违反核心价值观(政治敏感/元老)
玩弄,A.1,违反核心价值观(淫秽色情/低俗)
玮哥,A.3,商业违法违规(违禁品/药品)
环球,A.5,无法满足特定服务类型的安全需求(媒体)
现役,A.1,违反核心价值观(政治敏感/军方)
现场,A.5,无法满足特定服务类型的安全需求(通用词)
现金,A.3,商业违法违规(赌博/非法交易)
瓜葛,A.5,无法满足特定服务类型的安全需求(通用词)
生产,A.5,无法满足特定服务类型的安全需求(通用词)
产党,A.1,违反核心价值观(政治敏感/共产党)
田凤山,A.1,违反核心价值观(政治敏感/官员)
田纪云,A.1,违反核心价值观(政治敏感/领导人)
申冤,A.1,违反核心价值观(政治敏感/上访)
电击,A.3,商业违法违规(违禁品/警用器材)
电椅,A.1,违反核心价值观(暴力/刑具)
电棍,A.3,商业违法违规(违禁品/警用器材)
电话,A.3,商业违法违规(非法广告)
男妓,A.1,违反核心价值观(淫秽色情/职业)
男根,A.1,违反核心价值观(淫秽色情/低俗)
瘟家宝,A.1,违反核心价值观(政治敏感/领导人侮辱)
监禁,A.1,违反核心价值观(政治敏感/司法)
监督,A.1,违反核心价值观(政治敏感/社会)
监听,A.4,侵犯他人合法权益(隐私)
监狱,A.1,违反核心价值观(政治敏感/司法)
盘古,A.1,违反核心价值观(政治敏感/乐队/软件)
盲流,A.2,包含歧视性内容(社会歧视)
看守所,A.1,违反核心价值观(政治敏感/司法)
真善忍,A.1,违反核心价值观(邪教/法轮功)
真相,A.1,违反核心价值观(政治敏感/法轮功/六四)
眼线,A.1,违反核心价值观(政治敏感/特务)
短信,A.3,商业违法违规(非法广告)
砍刀,A.3,商业违法违规(违禁品/管制刀具)
砍杀,A.1,违反核心价值观(暴力/犯罪)
硬盘,A.1,违反核心价值观(淫秽色情/存储)
碧螺春,A.5,无法满足特定服务类型的安全需求(通用词)
示威,A.1,违反核心价值观(政治敏感/游行)
社论,A.1,违反核心价值观(政治敏感/四二六社论)
祖国,A.1,违反核心价值观(政治敏感/爱国主义)
祛斑,A.3,商业违法违规(非法广告/医疗)
神圣,A.5,无法满足特定服务类型的安全需求(通用词)
神棍,A.5,无法满足特定服务类型的安全需求(迷信)
神韵,A.1,违反核心价值观(邪教/法轮功演出)
禁书,A.1,违反核心价值观(政治敏感/出版物)
禁区,A.5,无法满足特定服务类型的安全需求(通用词)
禁片,A.1,违反核心价值观(淫秽色情/政治敏感)
福清,A.5,无法满足特定服务类型的安全需求(地名)
私人,A.5,无法满足特定服务类型的安全需求(通用词)
私服,A.3,商业违法违规(网络黑产/私服)
私欲,A.5,无法满足特定服务类型的安全需求(通用词)
种子,A.1,违反核心价值观(淫秽色情/资源)
科教,A.5,无法满足特定服务类型的安全需求(通用词)
秘密,A.1,违反核心价值观(政治敏感/机密)
秘闻,A.1,违反核心价值观(政治敏感/八卦)
租房,A.5,无法满足特定服务类型的安全需求(通用词)
程真,A.1,违反核心价值观(政治敏感/民运人士)
税票,A.3,商业违法违规(欺诈/非法发票)
穆斯林,A.1,违反核心价值观(宗教/民族)
窃听,A.4,侵犯他人合法权益(隐私)
窥视,A.4,侵犯他人合法权益(隐私)
立功,A.1,违反核心价值观(政治敏感/司法)
竞选,A.1,违反核心价值观(政治敏感/选举)
竹联帮,A.1,违反核心价值观(暴力/黑社会)
笑话,A.5,无法满足特定服务类型的安全需求(通用词)
笔供,A.1,违反核心价值观(政治敏感/司法)
答复,A.5,无法满足特定服务类型的安全需求(通用词)
答案,A.3,商业违法违规(欺诈/考试作弊)
策略,A.5,无法满足特定服务类型的安全需求(通用词)
管制,A.1,违反核心价值观(政治敏感/社会控制)
管教,A.1,违反核心价值观(政治敏感/劳教)
箱子,A.5,无法满足特定服务类型的安全需求(通用词)
米洛舍维奇,A.1,违反核心价值观(政治敏感/国际政治)
粉饰,A.1,违反核心价值观(政治敏感/宣传)
粗暴,A.1,违反核心价值观(暴力)
精液,A.1,违反核心价值观(淫秽色情/低俗)
精神病,A.2,包含歧视性内容(侮辱/被精神病)
糖衣炮弹,A.1,违反核心价值观(政治敏感/腐败)
系统,A.1,违反核心价值观(政治敏感/体制)
纪委,A.1,违反核心价值观(政治敏感/反腐)
纳粹,A.1,违反核心价值观(政治敏感/反人类)
纽带,A.5,无法满足特定服务类型的安全需求(通用词)
组织,A.1,违反核心价值观(政治敏感/非法组织)
结社,A.1,违反核心价值观(政治敏感/宪法权利)
统一,A.1,违反核心价值观(政治敏感/统战)
统战,A.1,违反核心价值观(政治敏感/部门)
绑架,A.1,违反核心价值观(暴力/犯罪)
经文,A.1,违反核心价值观(邪教/宗教)
维权,A.1,违反核心价值观(政治敏感/社会运动)
维稳,A.1,违反核心价值观(政治敏感/社会治理)
绿色,A.5,无法满足特定服务类型的安全需求(通用词)
缅甸,A.1,违反核心价值观(政治敏感/地区局势)
罢工,A.1,违反核心价值观(政治敏感/社会事件)
罢课,A.1,违反核心价值观(政治敏感/社会事件)
罗干,A.1,违反核心价值观(政治敏感/领导人)
美女,A.1,违反核心价值观(淫秽色情/低俗)
群交,A.1,违反核心价值观(淫秽色情/聚众淫乱)
群发,A.3,商业违法违规(非法广告)
翁安,A.1,违反核心价值观(政治敏感/群体事件)
翻墙,A.3,商业违法违规(网络黑产/突破封锁)
老不死的,A.2,包含歧视性内容(辱骂)
老公,A.5,无法满足特定服务类型的安全需求(通用词)
老子,A.5,无法满足特定服务类型的安全需求(通用词)
老毛,A.1,违反核心价值观(政治敏感/毛泽东)
老江,A.1,违反核心价值观(政治敏感/江泽民)
考前,A.3,商业违法违规(欺诈/考试作弊)
考后,A.3,商业违法违规(欺诈/考试作弊)
耳目,A.1,违反核心价值观(政治敏感/特务)
耶和华,A.1,违反核心价值观(宗教)
耶稣,A.1,违反核心价值观(宗教)
聚会,A.1,违反核心价值观(政治敏感/非法集会)
肉体,A.1,违反核心价值观(淫秽色情/低俗)
肉欲,A.1,违反核心价值观(淫秽色情/低俗)
肉棒,A.1,违反核心价值观(淫秽色情/低俗)
肉穴,A.1,违反核心价值观(淫秽色情/低俗)
肛交,A.1,违反核心价值观(淫秽色情/低俗)
肛门,A.1,违反核心价值观(淫秽色情/低俗)
肝脏,A.3,商业违法违规(非法交易/人体器官)
股民,A.5,无法满足特定服务类型的安全需求(金融)
股评,A.5,无法满足特定服务类型的安全需求(金融)
肢解,A.1,违反核心价值观(暴力/恐怖)
肥肉,A.5,无法满足特定服务类型的安全需求(通用词)
胡平,A.1,违反核心价值观(政治敏感/民运人士)
胡总,A.1,违反核心价值观(政治敏感/领导人)
胡温,A.1,违反核心价值观(政治敏感/领导人)
胡耀邦,A.1,违反核心价值观(政治敏感/领导人)
胡锦涛,A.1,违反核心价值观(政治敏感/领导人)
胸部,A.1,违反核心价值观(淫秽色情/低俗)
能干,A.5,无法满足特定服务类型的安全需求(通用词)
脚交,A.1,违反核心价值观(淫秽色情/低俗)
脸红,A.5,无法满足特定服务类型的安全需求(通用词)
脱光,A.1,违反核心价值观(淫秽色情/低俗)
脱衣,A.1,违反核心价值观(淫秽色情/低俗)
腐败,A.1,违反核心价值观(政治敏感/反腐)
肾脏,A.3,商业违法违规(非法交易/人体器官)
脑残,A.2,包含歧视性内容(辱骂)
腾笑,A.5,无法满足特定服务类型的安全需求(通用词)
自慰,A.1,违反核心价值观(淫秽色情/低俗)
自拍,A.1,违反核心价值观(淫秽色情/低俗)
自残,A.1,违反核心价值观(暴力/自伤)
自焚,A.1,违反核心价值观(政治敏感/法轮功)
自杀,A.1,违反核心价值观(暴力/自伤)
自由,A.1,违反核心价值观(政治敏感/价值观)
臭作,A.1,违反核心价值观(淫秽色情/游戏)
致富,A.3,商业违法违规(非法广告)
舐吸,A.1,违反核心价值观(淫秽色情/低俗)
舞弊,A.3,商业违法违规(欺诈/考试作弊)
航母,A.1,违反核心价值观(政治敏感/军事)
色情,A.1,违反核心价值观(淫秽色情/通用词)
色戒,A.1,违反核心价值观(淫秽色情/电影)
色狼,A.1,违反核心价值观(淫秽色情/低俗)
色诱,A.1,违反核心价值观(淫秽色情/犯罪)
艳照,A.1,违反核心价值观(淫秽色情/门事件)
艾滋,A.1,违反核心价值观(特定病患/社会歧视)
花花公子,A.1,违反核心价值观(淫秽色情/杂志)
芳名,A.5,无法满足特定服务类型的安全需求(通用词)
苍井空,A.1,违反核心价值观(淫秽色情/AV女优)
苏家屯,A.1,违反核心价值观(政治敏感/法轮功谣言)
苏绍智,A.1,违反核心价值观(政治敏感/学者)
苗头,A.5,无法满足特定服务类型的安全需求(通用词)
苛捐杂税,A.1,违反核心价值观(政治敏感/民生)
苦难,A.1,违反核心价值观(政治敏感/历史)
英雄,A.5,无法满足特定服务类型的安全需求(通用词)
茂名,A.1,违反核心价值观(政治敏感/PX事件)
范跑跑,A.1,违反核心价值观(社会民生/争议人物)
茅台,A.1,违反核心价值观(政治敏感/公款消费)
茉莉花,A.1,违反核心价值观(政治敏感/革命)
茶馆,A.1,违反核心价值观(政治敏感/舆论场所)
荆棘,A.5,无法满足特定服务类型的安全需求(通用词)
草泥马,A.2,包含歧视性内容(辱骂谐音)
药丸,A.3,商业违法违规(违禁品/药品)
药品,A.3,商业违法违规(违禁品/药品)
药库,A.3,商业违法违规(违禁品/药品)
荷枪实弹,A.1,违反核心价值观(暴力/军事)
获刑,A.1,违反核心价值观(政治敏感/司法)
莹莹,A.5,无法满足特定服务类型的安全需求(人名)
莽撞,A.5,无法满足特定服务类型的安全需求(通用词)
菊花,A.1,违反核心价值观(淫秽色情/隐喻)
蒋彦永,A.1,违反核心价值观(政治敏感/医生)
蒋介石,A.1,违反核心价值观(政治敏感/历史人物)
蒋经国,A.1,违反核心价值观(政治敏感/历史人物)
蒙汗药,A.3,商业违法违规(违禁品/迷药)
薄一波,A.1,违反核心价值观(政治敏感/元老)
薄熙来,A.1,违反核心价值观(政治敏感/落马官员)
藏独,A.1,违反核心价值观(政治敏感/分裂国家)
藤森,A.1,违反核心价值观(政治敏感/外国领导人)
虐待,A.1,违反核心价值观(暴力/虐待)
虐杀,A.1,违反核心价值观(暴力/犯罪)
处女,A.1,违反核心价值观(淫秽色情/低俗)
处决,A.1,违反核心价值观(政治敏感/司法)
蛇头,A.3,商业违法违规(非法业务/偷渡)
蛋疼,A.2,包含歧视性内容(粗俗语)
蛤蟆,A.1,违反核心价值观(政治敏感/江泽民侮辱)
蜜穴,A.1,违反核心价值观(淫秽色情/低俗)
血卡,A.1,违反核心价值观(政治敏感/六四)
血案,A.1,违反核心价值观(暴力/犯罪)
血腥,A.1,违反核心价值观(暴力/血腥)
行贿,A.3,商业违法违规(欺诈/腐败)
街头,A.1,违反核心价值观(政治敏感/运动)
袭警,A.1,违反核心价值观(暴力/犯罪)
西单,A.1,违反核心价值观(政治敏感/民主墙)
西藏,A.1,违反核心价值观(政治敏感/地区)
要犯,A.1,违反核心价值观(政治敏感/通缉)
覆灭,A.1,违反核心价值观(政治敏感/反动)
见证,A.5,无法满足特定服务类型的安全需求(通用词)
观察,A.5,无法满足特定服务类型的安全需求(通用词)
观看,A.5,无法满足特定服务类型的安全需求(通用词)
规定,A.5,无法满足特定服务类型的安全需求(通用词)
视频,A.1,违反核心价值观(淫秽色情/低俗)
亲民党,A.1,违反核心价值观(政治敏感/台湾政党)
解体,A.1,违反核心价值观(政治敏感/反动)
解放,A.1,违反核心价值观(政治敏感/解放军)
解禁,A.1,违反核心价值观(政治敏感/审查)
触目惊心,A.5,无法满足特定服务类型的安全需求(通用词)
言论,A.1,违反核心价值观(政治敏感/自由)
计生,A.1,违反核心价值观(政治敏感/政策)
订购,A.3,商业违法违规(非法广告)
讨债,A.1,违反核心价值观(社会民生/纠纷)
训练,A.1,违反核心价值观(政治敏感/军事)
记者,A.1,违反核心价值观(政治敏感/媒体)
许家屯,A.1,违反核心价值观(政治敏感/出走官员)
访民,A.1,违反核心价值观(政治敏感/上访)
设局,A.3,商业违法违规(欺诈)
证件,A.3,商业违法违规(欺诈/办证)
诈骗,A.3,商业违法违规(欺诈/犯罪)
评选,A.5,无法满足特定服务类型的安全需求(通用词)
诅咒,A.5,无法满足特定服务类型的安全需求(通用词)
试玩,A.5,无法满足特定服务类型的安全需求(通用词)
诗集,A.5,无法满足特定服务类型的安全需求(通用词)
诚聘,A.3,商业违法违规(非法广告)
话费,A.5,无法满足特定服务类型的安全需求(通用词)
诞辰,A.1,违反核心价值观(政治敏感/纪念)
诱惑,A.1,违反核心价值观(淫秽色情/低俗)
语录,A.1,违反核心价值观(政治敏感/毛泽东语录)
误国,A.1,违反核心价值观(政治敏感/批判)
说谎,A.5,无法满足特定服务类型的安全需求(通用词)
请愿,A.1,违反核心价值观(政治敏感/示威)
读职,A.1,违反核心价值观(政治敏感/渎职)
诽谤,A.4,侵犯他人合法权益(名誉权)
调教,A.1,违反核心价值观(淫秽色情/SM)
谈判,A.1,违反核心价值观(政治敏感/外交)
谎言,A.1,违反核心价值观(政治敏感/攻击)
谋杀,A.1,违反核心价值观(暴力/犯罪)
警察,A.1,违反核心价值观(政治敏感/执法)
警车,A.1,违反核心价值观(政治敏感/执法)
警匪,A.1,违反核心价值观(政治敏感/警匪一家)
警惕,A.5,无法满足特定服务类型的安全需求(通用词)
警界,A.1,违反核心价值观(政治敏感/政法)
警署,A.1,违反核心价值观(政治敏感/机构)
警花,A.1,违反核心价值观(淫秽色情/色情文学)
警钟,A.5,无法满足特定服务类型的安全需求(通用词)
议员,A.1,违反核心价值观(政治敏感/境外政治)
谢长廷,A.1,违反核心价值观(政治敏感/台湾政治人物)
谣言,A.5,无法满足特定服务类型的安全需求(不实信息)
谴责,A.1,违反核心价值观(政治敏感/外交)
豆腐渣,A.1,违反核心价值观(社会民生/质量问题)
豪乳,A.1,违反核心价值观(淫秽色情/低俗)
豪宅,A.1,违反核心价值观(政治敏感/腐败)
贝利亚,A.1,违反核心价值观(政治敏感/苏联历史)
贞操,A.1,违反核心价值观(淫秽色情/低俗)
贡献,A.5,无法满足特定服务类型的安全需求(通用词)
贪官,A.1,违反核心价值观(政治敏感/腐败)
贪污,A.1,违反核心价值观(政治敏感/腐败)
购买,A.3,商业违法违规(非法广告)
贴图,A.1,违反核心价值观(淫秽色情/色情图片)
贵州,A.1,违反核心价值观(社会民生/瓮安事件)
贷款,A.3,商业违法违规(欺诈/非法金融)
贸易,A.5,无法满足特定服务类型的安全需求(通用词)
贺国强,A.1,违反核心价值观(政治敏感/领导人)
贺龙,A.1,违反核心价值观(政治敏感/元帅)
贾庆林,A.1,违反核心价值观(政治敏感/领导人)
贿赂,A.1,违反核心价值观(政治敏感/腐败)
资料,A.5,无法满足特定服务类型的安全需求(通用词)
资产,A.1,违反核心价值观(政治敏感/资产转移)
资格证,A.3,商业违法违规(欺诈/办证)
赛马,A.3,商业违法违规(赌博)
赵紫阳,A.1,违反核心价值观(政治敏感/领导人)
赶下台,A.1,违反核心价值观(政治敏感/反动)
起义,A.1,违反核心价值观(政治敏感/反动)
超标,A.1,违反核心价值观(社会民生/食品安全)
足球,A.3,商业违法违规(赌博/赌球)
躁动,A.5,无法满足特定服务类型的安全需求(通用词)
蹄子,A.5,无法满足特定服务类型的安全需求(通用词)
蹂躏,A.1,违反核心价值观(暴力/虐待)
身份,A.3,商业违法违规(欺诈/身份证生成)
躲猫猫,A.1,违反核心价值观(社会民生/看守所死因)
车祸,A.1,违反核心价值观(社会民生/事故)
轮功,A.1,违反核心价值观(邪教/法轮功)
轮奸,A.1,违反核心价值观(淫秽色情/犯罪)
转世,A.1,违反核心价值观(宗教/达赖喇嘛)
转让,A.3,商业违法违规(非法广告)
轮盘,A.3,商业违法违规(赌博)
软禁,A.1,违反核心价值观(政治敏感/人权)
轰炸,A.1,违反核心价值观(暴力/恐怖)
辛灏年,A.1,违反核心价值观(政治敏感/异见人士)
办证,A.3,商业违法违规(欺诈/非法广告)
辞职,A.1,违反核心价值观(政治敏感/人事)
辽宁,A.1,违反核心价值观(政治敏感/贿选)
达赖,A.1,违反核心价值观(政治敏感/分裂国家)
迅雷,A.1,违反核心价值观(淫秽色情/资源下载)
迈巴赫,A.5,无法满足特定服务类型的安全需求(豪车)
运动,A.1,违反核心价值观(政治敏感/政治运动)
近期,A.5,无法满足特定服务类型的安全需求(通用词)
近亲,A.1,违反核心价值观(淫秽色情/乱伦)
违宪,A.1,违反核心价值观(政治敏感/法律)
违章,A.3,商业违法违规(非法业务/代办)
连战,A.1,违反核心价值观(政治敏感/台湾政治人物)
迷幻,A.3,商业违法违规(违禁品/毒品)
迷奸,A.1,违反核心价值观(淫秽色情/犯罪)
迷昏,A.3,商业违法违规(违禁品/迷药)
迷药,A.3,商业违法违规(违禁品/迷药)
迷魂,A.3,商业违法违规(违禁品/迷药)
追查,A.1,违反核心价值观(政治敏感/追查国际)
退伍,A.1,违反核心价值观(政治敏感/涉军维权)
退党,A.1,违反核心价值观(政治敏感/反动)
退团,A.1,违反核心价值观(政治敏感/反动)
逃亡,A.1,违反核心价值观(政治敏感/异见人士)
逃犯,A.1,违反核心价值观(暴力/犯罪)
选票,A.1,违反核心价值观(政治敏感/选举)
选举,A.1,违反核心价值观(政治敏感/选举)
透视,A.4,侵犯他人合法权益(隐私器材)
通奸,A.1,违反核心价值观(淫秽色情/道德)
通缉,A.1,违反核心价值观(政治敏感/司法)
造反,A.1,违反核心价值观(政治敏感/反动)
造谣,A.5,特定服务安全风险(谣言)
逼供,A.1,违反核心价值观(政治敏感/司法)
遗书,A.1,违反核心价值观(暴力/自杀)
遥控器,A.3,商业违法违规(赌博/作弊)
邓小平,A.1,违反核心价值观(政治敏感/领导人)
避孕,A.1,违反核心价值观(淫秽色情/用品)
邦国,A.1,违反核心价值观(政治敏感/领导人)
邪教,A.1,违反核心价值观(邪教)
邪恶,A.1,违反核心价值观(政治敏感/攻击党政)
邮寄,A.3,商业违法违规(非法物流)
都让,A.5,无法满足特定服务类型的安全需求(通用词)
配方,A.3,商业违法违规(违禁品/毒品制作)
酒井法子,A.1,违反核心价值观(社会民生/涉毒艺人)
酥胸,A.1,违反核心价值观(淫秽色情/低俗)
酷刑,A.1,违反核心价值观(暴力/虐待)
醉驾,A.1,违反核心价值观(社会民生/犯罪)
重婚,A.1,违反核心价值观(道德/法律)
重金,A.3,商业违法违规(非法广告/重金求子)
野战,A.1,违反核心价值观(淫秽色情/低俗)
金正日,A.1,违反核心价值观(政治敏感/外国领导人)
金融,A.3,商业违法违规(欺诈/非法金融)
钩子,A.5,无法满足特定服务类型的安全需求(通用词)
钦点,A.1,违反核心价值观(政治敏感/人事)
钱其琛,A.1,违反核心价值观(政治敏感/领导人)
钱运录,A.1,违反核心价值观(政治敏感/官员)
钻空子,A.5,无法满足特定服务类型的安全需求(通用词)
铁血,A.1,违反核心价值观(政治敏感/论坛)
铃声,A.3,商业违法违规(网络黑产/SP业务)
铅弹,A.3,商业违法违规(违禁品/枪支)
银监会,A.1,违反核心价值观(政治敏感/机构)
银行,A.3,商业违法违规(欺诈/银行卡复制)
银行卡,A.3,商业违法违规(欺诈/买卖银行卡)
销售,A.3,商业违法违规(非法广告)
锁码,A.3,商业违法违规(网络黑产/解码)
镇压,A.1,违反核心价值观(政治敏感/六四)
长春,A.1,违反核心价值观(政治敏感/法轮功)
门徒会,A.1,违反核心价值观(邪教)
闪电,A.1,违反核心价值观(邪教/东方闪电)
问责,A.1,违反核心价值观(政治敏感/行政)
阎明复,A.1,违反核心价值观(政治敏感/官员)
防暴,A.1,违反核心价值观(政治敏感/警用)
阴唇,A.1,违反核心价值观(淫秽色情/低俗)
阴囊,A.1,违反核心价值观(淫秽色情/低俗)
阴户,A.1,违反核心价值观(淫秽色情/低俗)
阴毛,A.1,违反核心价值观(淫秽色情/低俗)
阴沟,A.5,无法满足特定服务类型的安全需求(通用词)
阴茎,A.1,违反核心价值观(淫秽色情/低俗)
阴蒂,A.1,违反核心价值观(淫秽色情/低俗)
阴道,A.1,违反核心价值观(淫秽色情/低俗)
阴部,A.1,违反核心价值观(淫秽色情/低俗)
陈良宇,A.1,违反核心价值观(政治敏感/落马官员)
陈希同,A.1,违反核心价值观(政治敏感/落马官员)
陈水扁,A.1,违反核心价值观(政治敏感/台独)
陪睡,A.1,违反核心价值观(淫秽色情/色情服务)
隆胸,A.1,违反核心价值观(淫秽色情/医疗广告)
隐私,A.4,侵犯他人合法权益(隐私)
隐瞒,A.1,违反核心价值观(政治敏感/瞒报)
雅号,A.5,无法满足特定服务类型的安全需求(通用词)
集会,A.1,违反核心价值观(政治敏感/示威)
集团,A.1,违反核心价值观(政治敏感/利益集团)
集体,A.1,违反核心价值观(政治敏感/群体事件)
雍正,A.5,无法满足特定服务类型的安全需求(通用词)
雏妓,A.1,违反核心价值观(淫秽色情/犯罪)
雕牌,A.5,无法满足特定服务类型的安全需求(品牌/可能误伤)
霉素,A.3,商业违法违规(违禁品/药品)
霍乱,A.1,违反核心价值观(社会民生/疫情)
霸占,A.5,无法满足特定服务类型的安全需求(通用词)
青帮,A.1,违反核心价值观(暴力/黑社会)
